CREDIT_CODE|AMOUNT|CURRENCY|PAYMENT_DATE
069710165155|41.91|SOLES|2020-07-01
069710165155|81.60|SOLES|2020-07-01
025710179737|0.10|SOLES|2020-07-01
069710165155|85.83|SOLES|2020-07-01
069710165155|90.66|SOLES|2020-07-01
069710165155|0.10|SOLES|2020-07-01
282310129600|50.00|SOLES|2020-07-01
252310489221|408.32|SOLES|2020-07-01
152310491971|450.00|SOLES|2020-07-01
152310586192|50.00|SOLES|2020-07-01
152310497705|100.00|SOLES|2020-07-01
034710061333|197.33|SOLES|2020-07-01
034710061333|2.67|SOLES|2020-07-01
034710061333|200.00|SOLES|2020-07-01
160110191164|744.40|SOLES|2020-07-01
160110191164|205.68|SOLES|2020-07-01
160110263062|856.31|SOLES|2020-07-01
160110263062|293.61|SOLES|2020-07-01
062110021516|30.00|SOLES|2020-07-01
372110007419|300.00|SOLES|2020-07-01
162310606759|152.92|SOLES|2020-07-02
162310606759|347.08|SOLES|2020-07-02
122310736030|50.00|SOLES|2020-07-01
122310736030|50.00|SOLES|2020-07-01
016710276268|275.85|SOLES|2020-07-01
016710276268|258.15|SOLES|2020-07-01
001710146885|999.90|SOLES|2020-07-01
001710146885|182.49|SOLES|2020-07-01
001710146885|217.61|SOLES|2020-07-01
222310103346|176.63|SOLES|2020-07-02
082310015613|470.00|SOLES|2020-07-02
162110016381|137.90|SOLES|2020-07-02
082110018734|92.65|SOLES|2020-07-02
082110018734|187.35|SOLES|2020-07-02
252410028416|500.00|SOLES|2020-07-03
382310080173|279.70|SOLES|2020-07-02
132310454229|79.93|SOLES|2020-07-03
132310454229|500.07|SOLES|2020-07-03
132310537759|50.00|SOLES|2020-07-02
132310539599|182.00|SOLES|2020-07-02
322310273477|135.25|SOLES|2020-07-02
322310273477|564.75|SOLES|2020-07-02
152310609846|180.00|SOLES|2020-07-03
312310319701|98.14|SOLES|2020-07-03
312310319701|197.46|SOLES|2020-07-03
312310319701|204.40|SOLES|2020-07-03
015710125624|250.00|SOLES|2020-07-04
038710066267|550.00|SOLES|2020-07-03
095710023078|500.00|SOLES|2020-07-02
262310196908|415.00|SOLES|2020-07-03
572310061930|101.00|SOLES|2020-07-03
142110216835|24.11|SOLES|2020-07-03
142110216835|134.26|SOLES|2020-07-03
142110216835|139.80|SOLES|2020-07-03
142110216835|145.98|SOLES|2020-07-03
142110216835|151.59|SOLES|2020-07-03
142110216835|4.26|SOLES|2020-07-03
037710117666|34.53|SOLES|2020-07-03
037710117666|316.47|SOLES|2020-07-03
222310103346|303.37|SOLES|2020-07-02
052110150589|58.44|SOLES|2020-07-03
052110150589|91.56|SOLES|2020-07-03
060110562620|6.02|SOLES|2020-07-07
060110562620|93.98|SOLES|2020-07-07
150110081877|126.68|SOLES|2020-07-04
150110081877|23.32|SOLES|2020-07-04
060110477282|384.48|SOLES|2020-07-07
060110477282|415.52|SOLES|2020-07-07
152110032595|118.75|SOLES|2020-07-08
152110032595|181.25|SOLES|2020-07-08
132310232641|151.66|SOLES|2020-07-07
132310232641|198.34|SOLES|2020-07-07
162310218001|159.13|SOLES|2020-07-06
032310356624|118.03|SOLES|2020-07-07
032310356624|181.97|SOLES|2020-07-07
152310272645|200.00|SOLES|2020-07-07
382310074507|104.00|SOLES|2020-07-07
162310584998|414.96|SOLES|2020-07-07
162310584998|185.04|SOLES|2020-07-07
162110096383|315.00|SOLES|2020-07-07
122310577103|350.00|SOLES|2020-07-07
062310504956|299.83|SOLES|2020-07-07
062310504956|200.17|SOLES|2020-07-07
062310512413|92.87|SOLES|2020-07-07
062310512413|207.13|SOLES|2020-07-07
372910010480|129.80|SOLES|2020-07-06
