CREDIT_CODE|AMOUNT|CURRENCY|PAYMENT_DATE
099710084809|582.40|SOLES|2020-02-11
132310106134|200.00|SOLES|2020-02-11
132310621934|505.00|SOLES|2020-02-04
133010001864|306.80|SOLES|2020-02-17
133010009750|230.00|SOLES|2020-02-21
132310233565|180.00|SOLES|2020-02-29
142110268372|129.42|SOLES|2020-02-18
142110268372|140.58|SOLES|2020-02-18
143010005617|480.00|SOLES|2020-02-29
112310028926|100.00|SOLES|2020-02-29
132310396461|100.00|SOLES|2020-02-29
132310447090|70.00|SOLES|2020-02-24
132310453767|100.00|SOLES|2020-02-19
152310005078|123.83|SOLES|2020-02-11
152310005078|226.17|SOLES|2020-02-11
132310537759|50.00|SOLES|2020-02-29
112310741437|100.00|SOLES|2020-02-27
132310579942|200.00|SOLES|2020-02-28
120110014749|50.00|SOLES|2020-02-28
132310706180|708.01|SOLES|2020-02-26
132310706180|609.99|SOLES|2020-02-25
142310039300|400.78|SOLES|2020-02-29
142310039300|99.22|SOLES|2020-02-29
152310497705|100.00|SOLES|2020-02-28
152310540710|500.00|SOLES|2020-02-29
152310571525|100.00|SOLES|2020-02-28
122310078672|171.30|SOLES|2020-02-10
153010012059|250.00|SOLES|2020-02-21
160110119460|450.00|SOLES|2020-02-20
152310587802|525.00|SOLES|2020-02-18
152310607089|500.00|SOLES|2020-02-20
152310623086|241.00|SOLES|2020-02-29
122310341880|100.00|SOLES|2020-02-20
122310410974|150.00|SOLES|2020-02-17
122310525151|500.00|SOLES|2020-02-28
162310475114|150.00|SOLES|2020-02-29
162310226673|600.00|SOLES|2020-02-26
162310292832|100.00|SOLES|2020-02-28
123010000093|100.00|SOLES|2020-02-29
130110005456|8.03|SOLES|2020-02-18
130110005456|91.97|SOLES|2020-02-18
162310317910|500.00|SOLES|2020-02-29
162310896244|318.93|SOLES|2020-02-18
162310896244|1481.07|SOLES|2020-02-18
162310388226|100.00|SOLES|2020-02-27
162310408487|593.40|SOLES|2020-02-28
162311059412|560.70|SOLES|2020-02-20
162410007379|100.00|SOLES|2020-02-29
162310552722|100.00|SOLES|2020-02-24
