CREDIT_CODE|AMOUNT|CURRENCY|PAYMENT_DATE
132310090304|144.80|SOLES|2020-06-25
132310090304|205.20|SOLES|2020-06-25
132310621934|505.00|SOLES|2020-06-05
133010009750|230.00|SOLES|2020-06-30
142110137205|100.00|SOLES|2020-06-30
142110227675|296.89|SOLES|2020-06-30
142110227675|103.11|SOLES|2020-06-30
112310028926|100.00|SOLES|2020-06-01
112310028926|100.00|SOLES|2020-06-30
132310447090|70.00|SOLES|2020-06-24
132310517629|150.00|SOLES|2020-06-23
132310579942|300.00|SOLES|2020-06-30
132310581575|410.00|SOLES|2020-06-05
132310694923|999.00|SOLES|2020-06-12
132310694923|999.00|SOLES|2020-06-12
132310694923|417.07|SOLES|2020-06-12
132310694923|884.93|SOLES|2020-06-12
142110183712|146.46|SOLES|2020-06-08
142110183712|152.52|SOLES|2020-06-08
142110183712|22.02|SOLES|2020-06-08
152310550354|90.00|SOLES|2020-06-27
122310029592|151.95|SOLES|2020-06-30
122310029592|648.05|SOLES|2020-06-30
122310078672|171.30|SOLES|2020-06-30
152310618920|73.21|SOLES|2020-06-30
152310618920|193.49|SOLES|2020-06-30
122310179215|121.03|SOLES|2020-06-19
122310179215|158.97|SOLES|2020-06-19
152310528251|150.00|SOLES|2020-06-30
162110100359|19.58|SOLES|2020-06-30
162110100359|105.42|SOLES|2020-06-30
122310525151|250.00|SOLES|2020-06-27
162310475114|200.00|SOLES|2020-06-22
162310317910|20.00|SOLES|2020-06-30
162410007379|100.00|SOLES|2020-06-30
172110055644|216.70|SOLES|2020-06-30
172310249872|30.00|SOLES|2020-06-24
172310397580|50.00|SOLES|2020-06-30
162311119042|308.22|SOLES|2020-06-26
162311119042|191.78|SOLES|2020-06-26
172310473472|200.25|SOLES|2020-06-30
172310482127|145.00|SOLES|2020-06-30
172310325722|38.54|SOLES|2020-06-27
172310325722|176.48|SOLES|2020-06-27
172310325722|184.98|SOLES|2020-06-27
172310358384|200.00|SOLES|2020-06-10
132310539599|182.00|SOLES|2020-06-30
252310557803|500.00|SOLES|2020-06-27
252410028416|500.00|SOLES|2020-06-03
152110076188|248.45|SOLES|2020-06-19
152110076188|36.00|SOLES|2020-06-19
152110076188|315.55|SOLES|2020-06-19
252310450470|200.00|SOLES|2020-06-19
